Group_id,Members,Glossary,original,text,default_combine,nectec_combine,string_combine,filename,sentence_num
00003675,anisotropically,in an anisotropic manner,00003675 02 r 01 anisotropically 0 001 \ 01364023 a 0101 | in an anisotropic manner  ,"['ซึ่งมีคุณสมบัติที่ต่างกันทางกายภาพ, ไม่ค่อยสม่ำเสมอ']","['ซึ่ง/CC/O มี/VV/O คุณสมบัติ/NN/O ที่/CC/O ต่าง/VV/O กัน/PR/O ทาง/NN/O กายภาพ/NN/O ,/PU/O  /PU/O ไม่/NG/O ค่อย/AX/O สม่ำเสมอ/VV/O']","['ซึ่ง/CC/O|มี/VV/O|คุณสมบัติ/NN/O|ที่/CC/O|ต่าง/VV/O|กัน/PR/O|ทาง/NN/O|กายภาพ/NN/O|,/PU/O| /PU/O|ไม่/NG/O|ค่อย/AX/O|สม่ำเสมอ/VV/O']","ซึ่ง/CC/O มี/VV/O คุณสมบัติ/NN/O ที่/CC/O ต่าง/VV/O กัน/PR/O ทาง/NN/O กายภาพ/NN/O ,/PU/O  /PU/O ไม่/NG/O ค่อย/AX/O สม่ำเสมอ/VV/O",TWN-adv-3626-Clean-Aug-2021,11
00003761,annoyingly,in an annoying manner or to an annoying degree,00003761 02 r 01 annoyingly 0 001 \ 00090253 a 0101 | in an annoying manner or to an annoying degree  ,"['อย่างรำคาญ', 'อย่างน่ารำคาญ']",['อย่าง/FX/O รำคาญ/VV/O|อย่าง/FX/O น่า/FX/O รำคาญ/VV/O'],"['อย่าง/FX/O|รำคาญ/VV/O', 'อย่าง/FX/O|น่า/FX/O|รำคาญ/VV/O']",อย่าง/FX/O รำคาญ/VV/O|อย่าง/FX/O น่า/FX/O รำคาญ/VV/O,TWN-adv-3626-Clean-Aug-2021,12
00003864,basically|fundamentally|essentially,"in essence; at bottom or by one's (or its) very nature; ""He is basically dishonest""; ""the argument was essentially a technical one""; ""for all his bluster he is in essence a shy person""","00003864 02 r 03 basically 0 fundamentally 0 essentially 1 002 \ 00903909 a 0301 \ 01862358 a 0201 | in essence; at bottom or by one's (or its) very nature; ""He is basically dishonest""; ""the argument was essentially a technical one""; ""for all his bluster he is in essence a shy person""  ","['โดยพื้นฐาน', 'โดยเป็นรากฐาน']",['โดย/CC/O พื้นฐาน/NN/O|โดย/CC/O เป็น/VV/O รากฐาน/NN/O'],"['โดย/CC/O|พื้นฐาน/NN/O', 'โดย/CC/O|เป็น/VV/O|รากฐาน/NN/O']",โดย/CC/O พื้นฐาน/NN/O|โดย/CC/O เป็น/VV/O รากฐาน/NN/O,TWN-adv-3626-Clean-Aug-2021,13
00004152,blessedly,in a blessed manner,00004152 02 r 01 blessedly 0 001 \ 00673977 a 0101 | in a blessed manner  ,"['อย่างมีความสุข, อย่างมีโชค']","['อย่าง/FX/O มี/VV/O ความ/FX/O สุข/VV/O ,/PU/O  /PU/O อย่าง/FX/O มี/VV/O โชค/NN/O']","['อย่าง/FX/O|มี/VV/O|ความ/FX/O|สุข/VV/O|,/PU/O| /PU/O|อย่าง/FX/O|มี/VV/O|โชค/NN/O']","อย่าง/FX/O มี/VV/O ความ/FX/O สุข/VV/O ,/PU/O  /PU/O อย่าง/FX/O มี/VV/O โชค/NN/O",TWN-adv-3626-Clean-Aug-2021,14
00004227,boiling,"extremely; ""boiling mad""","00004227 02 r 01 boiling 0 001 ;u 07089193 n 0000 | extremely; ""boiling mad""  ","['อย่างเดือด', 'เดือด']",['อย่าง/FX/O เดือด/VV/O|เดือด/VV/O'],"['อย่าง/FX/O|เดือด/VV/O', 'เดือด/VV/O']",อย่าง/FX/O เดือด/VV/O|เดือด/VV/O,TWN-adv-3626-Clean-Aug-2021,15
00004306,enviably,"in an enviable manner; ""she was enviably fluent in French""","00004306 02 r 01 enviably 0 001 \ 00737084 a 0101 | in an enviable manner; ""she was enviably fluent in French""  ",['อย่างน่าอิจฉา'],['อย่าง/FX/O น่า/FX/O อิจฉา/VV/O'],['อย่าง/FX/O|น่า/FX/O|อิจฉา/VV/O'],อย่าง/FX/O น่า/FX/O อิจฉา/VV/O,TWN-adv-3626-Clean-Aug-2021,16
00004419,pointedly,"in such a manner as to make something clearly evident; ""he pointedly ignored the question""","00004419 02 r 01 pointedly 0 001 \ 00769422 a 0101 | in such a manner as to make something clearly evident; ""he pointedly ignored the question""  ","['อย่างตรงไปตรงมา', 'ชัดเจน', 'อย่างชัดเจน']",['อย่าง/FX/O ตรงไปตรงมา/VV/O|ชัดเจน/VV/O|อย่าง/FX/O ชัดเจน/VV/O'],"['อย่าง/FX/O|ตรงไปตรงมา/VV/O', 'ชัดเจน/VV/O', 'อย่าง/FX/O|ชัดเจน/VV/O']",อย่าง/FX/O ตรงไปตรงมา/VV/O|ชัดเจน/VV/O|อย่าง/FX/O ชัดเจน/VV/O,TWN-adv-3626-Clean-Aug-2021,17
00004565,negatively,"in a negative way; ""he was negatively inclined""","00004565 02 r 01 negatively 0 001 \ 01823738 a 0101 | in a negative way; ""he was negatively inclined""  ","['ในทางลบ', 'เชิงลบ']",['ใน/PS/O ทาง/NN/O ลบ/VV/O|เชิง/NN/O ลบ/VV/O'],"['ใน/PS/O|ทาง/NN/O|ลบ/VV/O', 'เชิง/NN/O|ลบ/VV/O']",ใน/PS/O ทาง/NN/O ลบ/VV/O|เชิง/NN/O ลบ/VV/O,TWN-adv-3626-Clean-Aug-2021,18
00004669,negatively,"in a harmful manner; ""he was negatively affected""","00004669 02 r 01 negatively 1 001 \ 01132339 a 0101 | in a harmful manner; ""he was negatively affected""  ","['ในทางลบ', 'เชิงลบ']",['ใน/PS/O ทาง/NN/O ลบ/VV/O|เชิง/NN/O ลบ/VV/O'],"['ใน/PS/O|ทาง/NN/O|ลบ/VV/O', 'เชิง/NN/O|ลบ/VV/O']",ใน/PS/O ทาง/NN/O ลบ/VV/O|เชิง/NN/O ลบ/VV/O,TWN-adv-3626-Clean-Aug-2021,19
00004775,kindly,"in a kind manner or out of kindness; ""He spoke kindly to the boy""; ""she kindly overlooked the mistake""","00004775 02 r 01 kindly 0 002 \ 01374976 a 0101 ! 00004948 r 0101 | in a kind manner or out of kindness; ""He spoke kindly to the boy""; ""she kindly overlooked the mistake""  ","['ด้วยจิตใจที่ดี', 'อย่างอ่อนโยน', 'อ่อนโยน']",['ด้วย/PS/O จิตใจ/NN/O ที่/CC/O ดี/VV/O|อย่าง/FX/B_PER อ่อน/VV/O โยน/VV/O|อ่อน/VV/O โยน/VV/O'],"['ด้วย/PS/O|จิตใจ/NN/O|ที่/CC/O|ดี/VV/O', 'อย่าง/FX/B_PER|อ่อน/VV/O|โยน/VV/O', 'อ่อน/VV/O|โยน/VV/O']",ด้วย/PS/O จิตใจ/NN/O ที่/CC/O ดี/VV/O|อย่าง/FX/B_PER อ่อน/VV/O โยน/VV/O|อ่อน/VV/O โยน/VV/O,TWN-adv-3626-Clean-Aug-2021,20
00004948,unkindly,"in an unkind manner or with unkindness; ""The teacher treats the children unkindly""","00004948 02 r 01 unkindly 0 002 ! 00004775 r 0101 \ 01376655 a 0101 | in an unkind manner or with unkindness; ""The teacher treats the children unkindly""  ","['โดยไม่เมตตา', 'โดยไม่ปราณี']",['โดย/CC/O ไม่/NG/O เมตตา/VV/O|โดย/CC/O ไม่/NG/O ปราณี/VV/O'],"['โดย/CC/O|ไม่/NG/O|เมตตา/VV/O', 'โดย/CC/O|ไม่/NG/O|ปราณี/VV/O']",โดย/CC/O ไม่/NG/O เมตตา/VV/O|โดย/CC/O ไม่/NG/O ปราณี/VV/O,TWN-adv-3626-Clean-Aug-2021,21
00005103,merely|simply|just|only|but,"and nothing more; ""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment""","00005103 02 r 05 merely 0 simply 0 just 0 only 2 but 1 002 \ 01797082 a 0203 \ 01797082 a 0102 | and nothing more; ""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment""  ","['เท่านั้น', 'แต่', 'เหมาะสม', 'เพียงแค่', 'ที่เป็นจริง', 'ยกเว้น', 'ที่เป็นคนหรือสิ่งเดียว', 'เพียงเท่านั้น', 'อย่างหวุดหวิด', 'ยุติธรรม', 'ถูกต้องตามกฎหมาย', 'ที่เป็นลูกโทน', 'อย่างแท้จริง', 'ตอนนี้', 'เพิ่งจะ', 'เพียงแค่นั้น', 'พอดี', 'อย่างตรงไปตรงมา', 'เป็นแต่เพียง', 'อย่างง่ายๆ']",['เท่านั้น/AV/B_ORG|แต่/CC/B_ORG|เหมาะสม/VV/B_ORG|เพียง/AV/O แค่/AJ/O|ที่/CC/B_PER เป็น/VV/O จริง/VV/O|ยกเว้น/VV/B_ORG|ที่/CC/O เป็น/VV/O คน/NN/O หรือ/CC/O สิ่ง/NN/O เดียว/NU/O|เพียง/AV/O เท่านั้น/AV/O|อย่าง/FX/O หวุดหวิด/VV/O|ยุติธรรม/VV/B_ORG|ถูกต้อง/VV/B_PER ตาม/PS/O กฎหมาย/NN/O|ที่/CC/B_ORG เป็น/VV/O ลูก/NN/O โทน/AJ/O|อย่าง/FX/O แท้จริง/VV/O|ตอน/NN/O นี้/AJ/O|เพิ่ง/AX/O จะ/AX/O|เพียง/AV/B_PER แค่/AJ/O นั้น/AJ/O|พอดี/VV/B_ORG|อย่าง/FX/O ตรงไปตรงมา/VV/O|เป็น/VV/B_PER แต่/CC/O เพียง/AV/O|อย่าง/FX/B_PER ง่าย/VV/O ๆ/PU/O'],"['เท่านั้น/AV/B_ORG', 'แต่/CC/B_ORG', 'เหมาะสม/VV/B_ORG', 'เพียง/AV/O|แค่/AJ/O', 'ที่/CC/B_PER|เป็น/VV/O|จริง/VV/O', 'ยกเว้น/VV/B_ORG', 'ที่/CC/O|เป็น/VV/O|คน/NN/O|หรือ/CC/O|สิ่ง/NN/O|เดียว/NU/O', 'เพียง/AV/O|เท่านั้น/AV/O', 'อย่าง/FX/O|หวุดหวิด/VV/O', 'ยุติธรรม/VV/B_ORG', 'ถูกต้อง/VV/B_PER|ตาม/PS/O|กฎหมาย/NN/O', 'ที่/CC/B_ORG|เป็น/VV/O|ลูก/NN/O|โทน/AJ/O', 'อย่าง/FX/O|แท้จริง/VV/O', 'ตอน/NN/O|นี้/AJ/O', 'เพิ่ง/AX/O|จะ/AX/O', 'เพียง/AV/B_PER|แค่/AJ/O|นั้น/AJ/O', 'พอดี/VV/B_ORG', 'อย่าง/FX/O|ตรงไปตรงมา/VV/O', 'เป็น/VV/B_PER|แต่/CC/O|เพียง/AV/O', 'อย่าง/FX/B_PER|ง่าย/VV/O|ๆ/PU/O']",เท่านั้น/AV/B_ORG|แต่/CC/B_ORG|เหมาะสม/VV/B_ORG|เพียง/AV/O แค่/AJ/O|ที่/CC/B_PER เป็น/VV/O จริง/VV/O|ยกเว้น/VV/B_ORG|ที่/CC/O เป็น/VV/O คน/NN/O หรือ/CC/O สิ่ง/NN/O เดียว/NU/O|เพียง/AV/O เท่านั้น/AV/O|อย่าง/FX/O หวุดหวิด/VV/O|ยุติธรรม/VV/B_ORG|ถูกต้อง/VV/B_PER ตาม/PS/O กฎหมาย/NN/O|ที่/CC/B_ORG เป็น/VV/O ลูก/NN/O โทน/AJ/O|อย่าง/FX/O แท้จริง/VV/O|ตอน/NN/O นี้/AJ/O|เพิ่ง/AX/O จะ/AX/O|เพียง/AV/B_PER แค่/AJ/O นั้น/AJ/O|พอดี/VV/B_ORG|อย่าง/FX/O ตรงไปตรงมา/VV/O|เป็น/VV/B_PER แต่/CC/O เพียง/AV/O|อย่าง/FX/B_PER ง่าย/VV/O ๆ/PU/O,TWN-adv-3626-Clean-Aug-2021,22
00005348,simply,"absolutely; altogether; really; ""we are simply broke""","00005348 02 r 01 simply 2 000 | absolutely; altogether; really; ""we are simply broke""  ","['อย่างแท้จริง', 'เพียงแค่นั้น', 'อย่างตรงไปตรงมา', 'อย่างง่ายๆ']",['อย่าง/FX/O แท้จริง/VV/O|เพียง/AV/O แค่/AJ/O นั้น/AJ/O|อย่าง/FX/O ตรงไปตรงมา/VV/O|อย่าง/FX/O ง่าย/VV/O ๆ/PU/O'],"['อย่าง/FX/O|แท้จริง/VV/O', 'เพียง/AV/O|แค่/AJ/O|นั้น/AJ/O', 'อย่าง/FX/O|ตรงไปตรงมา/VV/O', 'อย่าง/FX/O|ง่าย/VV/O|ๆ/PU/O']",อย่าง/FX/O แท้จริง/VV/O|เพียง/AV/O แค่/AJ/O นั้น/AJ/O|อย่าง/FX/O ตรงไปตรงมา/VV/O|อย่าง/FX/O ง่าย/VV/O ๆ/PU/O,TWN-adv-3626-Clean-Aug-2021,23
00005436,plainly|simply,"in a simple manner; without extravagance or embellishment; ""she was dressed plainly""; ""they lived very simply""","00005436 02 r 02 plainly 1 simply 1 000 | in a simple manner; without extravagance or embellishment; ""she was dressed plainly""; ""they lived very simply""  ","['อย่างแท้จริง', 'อย่างตรงไปตรงมา', 'อย่างชัดเจน', 'เพียงแค่นั้น', 'อย่างง่ายๆ']",['อย่าง/FX/O แท้จริง/VV/O|อย่าง/FX/O ตรงไปตรงมา/VV/O|อย่าง/FX/O ชัดเจน/VV/O|เพียง/AV/O แค่/AJ/O นั้น/AJ/O|อย่าง/FX/O ง่าย/VV/O ๆ/PU/O'],"['อย่าง/FX/O|แท้จริง/VV/O', 'อย่าง/FX/O|ตรงไปตรงมา/VV/O', 'อย่าง/FX/O|ชัดเจน/VV/O', 'เพียง/AV/O|แค่/AJ/O|นั้น/AJ/O', 'อย่าง/FX/O|ง่าย/VV/O|ๆ/PU/O']",อย่าง/FX/O แท้จริง/VV/O|อย่าง/FX/O ตรงไปตรงมา/VV/O|อย่าง/FX/O ชัดเจน/VV/O|เพียง/AV/O แค่/AJ/O นั้น/AJ/O|อย่าง/FX/O ง่าย/VV/O ๆ/PU/O,TWN-adv-3626-Clean-Aug-2021,24
00005591,anciently,"in ancient times; long ago; ""a concern with what may have happened anciently""","00005591 02 r 01 anciently 0 001 \ 01732846 a 0101 | in ancient times; long ago; ""a concern with what may have happened anciently""  ","['ในสมัยโบราณ', 'นานมาแล้ว']",['ใน/PS/O สมัย/NN/O โบราณ/AJ/O|นาน/VV/O มา/AV/O แล้ว/AX/O'],"['ใน/PS/O|สมัย/NN/O|โบราณ/AJ/O', 'นาน/VV/O|มา/AV/O|แล้ว/AX/O']",ใน/PS/O สมัย/NN/O โบราณ/AJ/O|นาน/VV/O มา/AV/O แล้ว/AX/O,TWN-adv-3626-Clean-Aug-2021,25
00005724,arguably,"as can be shown by argument; ""she is arguably the best""","00005724 02 r 01 arguably 0 001 \ 00604761 a 0101 | as can be shown by argument; ""she is arguably the best""  ",['เป็นที่ถกเถียงได้'],['เป็น/VV/O ที่/CC/O ถกเถียง/VV/O ได้/AX/O'],['เป็น/VV/O|ที่/CC/O|ถกเถียง/VV/O|ได้/AX/O'],เป็น/VV/O ที่/CC/O ถกเถียง/VV/O ได้/AX/O,TWN-adv-3626-Clean-Aug-2021,26
00005834,unabashedly,"in an unabashed manner; ""unabashedly, he asked for more""","00005834 02 r 01 unabashedly 0 001 \ 00157153 a 0101 | in an unabashed manner; ""unabashedly, he asked for more""  ","['อย่างไม่สะทกสะท้าย', 'อย่างไม่มียางอาย']",['อย่าง/FX/O ไม่/NG/O สะทก/VV/O สะท้าย/NN/O|อย่าง/FX/O ไม่/NG/O มี/VV/O ยางอาย/NN/O'],"['อย่าง/FX/O|ไม่/NG/O|สะทก/VV/O|สะท้าย/NN/O', 'อย่าง/FX/O|ไม่/NG/O|มี/VV/O|ยางอาย/NN/O']",อย่าง/FX/O ไม่/NG/O สะทก/VV/O สะท้าย/NN/O|อย่าง/FX/O ไม่/NG/O มี/VV/O ยางอาย/NN/O,TWN-adv-3626-Clean-Aug-2021,27
00005948,automatically,"in a reflex manner; ""he answered automatically""","00005948 02 r 01 automatically 0 001 \ 02532828 a 0101 | in a reflex manner; ""he answered automatically""  ","['โดยอัตโนมัติ', 'อย่างอัตโนมัติ']",['โดย/FX/O อัตโนมัติ/VV/O|อย่าง/FX/O อัตโนมัติ/VV/O'],"['โดย/FX/O|อัตโนมัติ/VV/O', 'อย่าง/FX/O|อัตโนมัติ/VV/O']",โดย/FX/O อัตโนมัติ/VV/O|อย่าง/FX/O อัตโนมัติ/VV/O,TWN-adv-3626-Clean-Aug-2021,28
00006055,alarmingly,"in an alarming manner; ""It grew alarmingly fast""","00006055 02 r 01 alarmingly 0 001 \ 00194616 a 0101 | in an alarming manner; ""It grew alarmingly fast""  ","['อย่างน่าตกใจ', 'ตื่นตระหนก', 'อย่างตื่นตระหนก']",['อย่าง/FX/O น่า/FX/O ตกใจ/VV/O|ตื่นตระหนก/VV/B_ORG|อย่าง/FX/O ตื่นตระหนก/VV/O'],"['อย่าง/FX/O|น่า/FX/O|ตกใจ/VV/O', 'ตื่นตระหนก/VV/B_ORG', 'อย่าง/FX/O|ตื่นตระหนก/VV/O']",อย่าง/FX/O น่า/FX/O ตกใจ/VV/O|ตื่นตระหนก/VV/B_ORG|อย่าง/FX/O ตื่นตระหนก/VV/O,TWN-adv-3626-Clean-Aug-2021,29
00006160,vastly|immensely,"to an exceedingly great extent or degree; ""He had vastly overestimated his resources""; ""was immensely more important to the project as a scientist than as an administrator""","00006160 02 r 02 vastly 0 immensely 1 002 \ 01390253 a 0202 \ 01390253 a 0103 | to an exceedingly great extent or degree; ""He had vastly overestimated his resources""; ""was immensely more important to the project as a scientist than as an administrator""  ","['อย่างกว้างขวางมาก', 'อย่างมากมาย', 'อย่างมโหฬาร']",['อย่าง/FX/O กว้างขวาง/VV/O มาก/VV/O|อย่าง/FX/O มากมาย/VV/O|อย่าง/FX/O มโหฬาร/VV/O'],"['อย่าง/FX/O|กว้างขวาง/VV/O|มาก/VV/O', 'อย่าง/FX/O|มากมาย/VV/O', 'อย่าง/FX/O|มโหฬาร/VV/O']",อย่าง/FX/O กว้างขวาง/VV/O มาก/VV/O|อย่าง/FX/O มากมาย/VV/O|อย่าง/FX/O มโหฬาร/VV/O,TWN-adv-3626-Clean-Aug-2021,30
00006415,grossly,in a gross manner,00006415 02 r 01 grossly 0 001 \ 00582390 a 0105 | in a gross manner  ,"['อย่างมาก, อย่างยิ่ง']","['อย่าง/FX/O มาก/VV/O ,/PU/O  /PU/O อย่าง/FX/O ยิ่ง/VV/O']","['อย่าง/FX/O|มาก/VV/O|,/PU/O| /PU/O|อย่าง/FX/O|ยิ่ง/VV/O']","อย่าง/FX/O มาก/VV/O ,/PU/O  /PU/O อย่าง/FX/O ยิ่ง/VV/O",TWN-adv-3626-Clean-Aug-2021,31
00006486,largely|mostly|for_the_most_part,"in large part; mainly or chiefly; ""These accounts are largely inactive""","00006486 02 r 03 largely 0 mostly 0 for_the_most_part 0 001 \ 01560125 a 0201 | in large part; mainly or chiefly; ""These accounts are largely inactive""  ","['โดยส่วนมาก', 'ส่วนมาก', 'ส่วนใหญ่']",['โดย/CC/O ส่วน/NN/O มาก/VV/O|ส่วน/NN/O มาก/VV/O|ส่วนใหญ่/NN/B_ORG'],"['โดย/CC/O|ส่วน/NN/O|มาก/VV/O', 'ส่วน/NN/O|มาก/VV/O', 'ส่วนใหญ่/NN/B_ORG']",โดย/CC/O ส่วน/NN/O มาก/VV/O|ส่วน/NN/O มาก/VV/O|ส่วนใหญ่/NN/B_ORG,TWN-adv-3626-Clean-Aug-2021,32
00006640,significantly,"in a significant manner; ""our budget will be significantly affected by these new cuts""","00006640 02 r 01 significantly 3 003 ! 00006822 r 0101 \ 00627729 a 0101 \ 02168847 a 0101 | in a significant manner; ""our budget will be significantly affected by these new cuts""  ","['อย่างมีความหมาย', 'อย่างสำคัญ']",['อย่าง/FX/O มี/VV/O ความหมาย/NN/O|อย่าง/FX/O สำคัญ/VV/O'],"['อย่าง/FX/O|มี/VV/O|ความหมาย/NN/O', 'อย่าง/FX/O|สำคัญ/VV/O']",อย่าง/FX/O มี/VV/O ความหมาย/NN/O|อย่าง/FX/O สำคัญ/VV/O,TWN-adv-3626-Clean-Aug-2021,33
